station_name,location,time_of_day,start_station_count,end_station_count,total_station_traffic
Fulton St & Broadway,"40.711066,-74.009447",Morning,734,1055,1789
E 58 St & 3 Ave,"40.76095756,-73.96724467",Morning,800,975,1775
Washington Pl & Broadway,"40.72903917,-73.99404649",Morning,752,1007,1759
E 7 St & Avenue A,"40.72621788,-73.98379855",Morning,1368,388,1756
9 Ave & W 45 St,"40.76019252,-73.9912551",Morning,947,804,1751
MacDougal St & Washington Sq,"40.73226398,-73.99852205",Morning,814,936,1750
W 13 St & Hudson St,"40.73997354103409,-74.005138725042343",Morning,724,1024,1748
W 45 St & 6 Ave,"40.756687206031792,-73.982577323913574",Morning,510,1223,1733
St Marks Pl & 2 Ave,"40.7284186,-73.98713956",Morning,1026,705,1731
W 17 St & 8 Ave,"40.74177603,-74.00149746",Morning,865,859,1724
11 Ave & W 41 St,"40.76030096,-73.99884222",Morning,923,798,1721
FDR Drive & E 35 St,"40.744219,-73.97121214",Morning,882,836,1718
W 52 St & 11 Ave,"40.76727216,-73.99392888",Morning,915,797,1712
Franklin St & W Broadway,"40.71911552,-74.00666661",Morning,862,839,1701
E 20 St & Park Ave,"40.73827428,-73.98751968",Morning,840,852,1692
Lafayette St & Jersey St,"40.724305272503322,-73.996009826660156",Morning,367,1324,1691
9 Ave & W 16 St,"40.74206539,-74.00443172",Morning,711,980,1691
E 47 St & 2 Ave,"40.75323098,-73.97032517",Morning,896,790,1686
Murray St & West St,"40.7149787,-74.013012",Morning,655,1029,1684
W 13 St & 6 Ave,"40.73649403,-73.99704374",Morning,887,785,1672
E 45 St & 3 Ave,"40.75255434,-73.97282625",Morning,815,852,1667
W 20 St & 7 Ave,"40.74238787,-73.99726235",Morning,879,781,1660
5 Ave & E 63 St,"40.766368,-73.971518",Morning,760,898,1658
Rivington St & Chrystie St,"40.72110063,-73.9919254",Morning,957,684,1641
Mercer St & Bleecker St,"40.72679454,-73.99695094",Morning,530,1094,1624
W 39 St & 9 Ave,"40.75645824,-73.99372222",Morning,943,676,1619
E 33 St & 2 Ave,"40.744023,-73.976056",Morning,992,624,1616
E 11 St & 2 Ave,"40.73047309,-73.98672378",Morning,871,740,1611
E 53 St & Madison Ave,"40.7597108,-73.97402311",Morning,651,955,1606
W 49 St & 8 Ave,"40.76227205,-73.98788205",Morning,992,611,1603
E 24 St & Park Ave S,"40.74096374,-73.98602213",Morning,692,911,1603
W 37 St & 10 Ave,"40.75660359,-73.9979009",Morning,930,658,1588
W 26 St & 8 Ave,"40.74734825,-73.99723551",Morning,933,653,1586
Bank St & Hudson St,"40.73652889,-74.00618026",Morning,793,783,1576
